Time,Open,High,Low,Last,Change,Volume
3/22/2019,0.009022,0.009108,0.009018,0.009094999,7.10E-05,4258
3/21/2019,0.00903,0.009064,0.009012,0.009024,-8.00E-06,4547
3/20/2019,0.008976,0.009041,0.008954,0.009032,5.70E-05,4534
3/19/2019,0.008973001,0.008994,0.008971,0.008975,1.00E-06,4470
3/18/2019,0.008974,0.008982,0.008958999,0.008974,6.00E-06,4528
3/15/2019,0.008951999,0.008974,0.008938,0.008967999,1.50E-05,4940
3/14/2019,0.008994999,0.008994999,0.008943,0.008952999,-4.30E-05,5234
3/13/2019,0.008979,0.009005999,0.008973001,0.008996,1.40E-05,4624
3/12/2019,0.008992,0.008998,0.008972,0.008982,-8.00E-06,4890
3/11/2019,0.008992,0.009016,0.008986,0.00899,-5.00E-06,4503
3/8/2019,0.008959999,0.009019,0.008955,0.008994999,3.40E-05,4874
3/7/2019,0.008944999,0.008966999,0.008942,0.008961,1.50E-05,4175
3/6/2019,0.008936,0.008955999,0.008936,0.008946,8.00E-06,4075
3/5/2019,0.008947,0.008948,0.008920999,0.008938,-1.10E-05,4564
3/4/2019,0.008937,0.008955,0.008928,0.008948999,1.60E-05,4253
3/1/2019,0.008975,0.008979,0.008924,0.008933,-4.30E-05,4693
2/28/2019,0.009006999,0.009033999,0.00897,0.008976,-3.20E-05,4760
2/27/2019,0.009041,0.009059,0.009004,0.009008,-3.50E-05,4301
2/26/2019,0.009004,0.009052999,0.009002999,0.009043,3.90E-05,4393
2/25/2019,0.009033,0.009041,0.008991,0.009004,-3.20E-05,5123
2/22/2019,0.00903,0.009043,0.009018,0.009036,3.00E-06,4650
2/21/2019,0.009019,0.00904,0.009019,0.009033,1.40E-05,4562
2/20/2019,0.009037,0.009043,0.009014999,0.009019,-2.20E-05,4620
2/19/2019,0.00904,0.009051,0.009024,0.009041,2.00E-06,4767
2/18/2019,0.009054,0.009054,0.009039,0.009039,-1.40E-05,4052
2/15/2019,0.009048,0.009067,0.009039,0.009052999,3.00E-06,5008
2/14/2019,0.009008,0.00905,0.009,0.00905,4.30E-05,4514
2/13/2019,0.009048999,0.009052999,0.009005999,0.009006999,-4.40E-05,4728
2/12/2019,0.009059,0.00906,0.009037999,0.009051,-8.00E-06,4578
2/11/2019,0.009113,0.009113,0.009052999,0.009059,-5.10E-05,4709
